songId,type,difficulty,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,noteDesigner
ARROW,std,advanced,241,26,21,NULL,12,300,-
ARROW,std,expert,385,74,44,NULL,15,518,rioN
ARROW,std,master,466,123,56,NULL,12,657,Jack
ATLAS RUSH,dx,basic,193,13,6,14,10,236,-
ATLAS RUSH,dx,advanced,304,23,7,21,13,368,-
ATLAS RUSH,dx,expert,403,61,48,21,59,592,サファ太
ATLAS RUSH,dx,master,763,42,103,28,109,1045,BELiZHEL
Abstruse Dilemma,dx,basic,243,30,5,15,7,300,-
Abstruse Dilemma,dx,advanced,467,17,10,15,4,513,-
Abstruse Dilemma,dx,expert,449,85,43,32,40,649,Luxizhel
Abstruse Dilemma,dx,master,704,44,121,87,92,1048,鳩ホルダー
Acceleration,std,basic,166,9,6,NULL,7,188,-
Acceleration,std,advanced,193,25,2,NULL,5,225,-
Acceleration,std,expert,361,20,19,NULL,6,406,譜面-100号
Acceleration,std,master,421,8,28,NULL,7,464,ニャイン
Aegleseeker,dx,basic,184,19,4,31,7,245,-
Aegleseeker,dx,advanced,312,17,18,23,20,390,-
Aegleseeker,dx,expert,480,88,41,35,21,665,はっぴー
Aegleseeker,dx,master,754,87,49,114,80,1084,サファ太 vs 翠楼屋
Aetheric Energy,dx,basic,133,7,4,18,7,169,-
Aetheric Energy,dx,advanced,256,42,4,33,8,343,-
Aetheric Energy,dx,expert,371,35,41,43,15,505,Jack
Aetheric Energy,dx,master,478,37,72,98,46,731,華火職人
Aetheric Energy,dx,remaster,517,54,96,17,40,824,じゃこレモン
After Burner,std,basic,211,4,12,NULL,8,235,-
After Burner,std,advanced,384,30,7,NULL,10,431,-
After Burner,std,expert,343,23,79,NULL,43,488,ロシェ@ペンギン
After Burner,std,master,774,27,78,NULL,36,915,譜面-100号
Agitation！,dx,basic,118,16,10,10,9,163,-
Agitation！,dx,advanced,174,44,13,30,22,283,-
Agitation！,dx,expert,342,42,45,39,29,497,華火職人
Agitation！,dx,master,531,40,61,21,12,665,はっぴー
Ai C,dx,basic,186,16,8,8,10,228,-
Ai C,dx,advanced,275,21,6,28,6,336,-
Ai C,dx,expert,402,34,55,30,11,532,Luxizhel
Ai C,dx,master,670,50,84,32,33,869,メロンポップ
Aiolos,std,basic,273,6,9,NULL,10,298,-
Aiolos,std,advanced,348,22,22,NULL,10,402,-
Aiolos,std,expert,638,23,48,NULL,18,727,mai-Star
Aiolos,std,master,989,20,61,NULL,30,1100,某S氏
Alcyone,dx,basic,119,15,8,10,4,156,-
Alcyone,dx,advanced,279,37,24,27,12,379,-
Alcyone,dx,expert,421,90,63,40,21,635,隅田川星人
Alcyone,dx,master,644,78,94,53,16,885,シチミヘルツ
Alea jacta est!,std,basic,313,16,4,NULL,8,341,-
Alea jacta est!,std,advanced,375,27,35,NULL,32,469,-
Alea jacta est!,std,expert,540,74,82,NULL,45,741,サファ太
Alea jacta est!,std,master,793,51,82,NULL,84,1010,“Carpe diem” ＊ HAN∀BI
Alea jacta est!,std,remaster,906,83,77,NULL,71,1137,小鳥遊さん fused with Phoenix
Alice in 冷凍庫,dx,basic,118,6,2,6,1,133,-
Alice in 冷凍庫,dx,advanced,238,19,14,10,6,287,-
Alice in 冷凍庫,dx,expert,347,54,24,14,8,447,はっぴー
Alice in 冷凍庫,dx,master,437,69,81,50,6,643,Jack
Alice's Suitcase,dx,basic,125,19,6,20,4,174,-
Alice's Suitcase,dx,advanced,247,47,14,24,18,350,-
Alice's Suitcase,dx,expert,331,78,38,12,18,477,PG-NAKAGAWA
Alice's Suitcase,dx,master,516,67,97,79,27,786,Jack vs あまくちジンジャー
Altale,std,basic,126,10,7,NULL,2,145,-
Altale,std,advanced,195,47,10,NULL,4,256,-
Altale,std,expert,305,52,24,NULL,21,402,Jack
Altale,std,master,371,7,81,NULL,28,487,チャン@DP皆伝
Amereistr,dx,basic,231,13,4,8,5,261,-
Amereistr,dx,advanced,366,18,10,34,8,436,-
Amereistr,dx,expert,122,53,12,31,45,263,サファ太
Amereistr,dx,master,466,102,31,67,72,738,Jack
Apollo,dx,basic,268,11,9,19,10,317,-
Apollo,dx,advanced,330,29,6,29,6,400,-
Apollo,dx,expert,718,64,42,17,19,860,鳩ホルダー
Apollo,dx,master,866,113,90,53,89,1211,EL DiABLO
Armageddon,dx,basic,141,19,4,16,13,193,-
Armageddon,dx,advanced,363,6,21,24,13,427,-
Armageddon,dx,expert,578,109,49,59,10,805,はっぴー
Armageddon,dx,master,666,119,77,105,26,993,翠楼屋
Arty Party,dx,basic,124,16,2,12,3,157,-
Arty Party,dx,advanced,288,36,10,14,8,356,-
Arty Party,dx,expert,352,59,60,20,31,522,サファ太
Arty Party,dx,master,654,34,57,30,39,814,しちみりこりす
Axeria,std,basic,218,3,9,NULL,3,233,-
Axeria,std,advanced,276,29,12,NULL,6,323,-
Axeria,std,expert,453,60,56,NULL,6,575,mai-Star
Axeria,std,master,700,53,133,NULL,2,888,Jack
B.B.K.K.B.K.K.,std,basic,247,4,1,NULL,6,258,-
B.B.K.K.B.K.K.,std,advanced,456,13,24,NULL,9,502,-
B.B.K.K.B.K.K.,std,expert,581,26,61,NULL,8,676,Jack
B.B.K.K.B.K.K.,std,master,767,12,116,NULL,9,904,mai-Star
B.M.S.,std,basic,169,8,4,NULL,6,187,-
B.M.S.,std,advanced,255,52,15,NULL,36,358,-
B.M.S.,std,expert,394,39,86,NULL,3,522,Jack
B.M.S.,std,master,687,84,51,NULL,31,853,はっぴー
BAD∞END∞NIGHT,std,basic,95,20,7,NULL,5,127,-
BAD∞END∞NIGHT,std,advanced,286,10,2,NULL,16,314,-
BAD∞END∞NIGHT,std,expert,258,50,22,NULL,5,335,譜面-100号
BAD∞END∞NIGHT,std,master,381,21,61,NULL,33,496,ニャイン
BAD∞END∞NIGHT,dx,basic,146,8,4,12,9,179,-
BAD∞END∞NIGHT,dx,advanced,229,12,6,13,12,272,-
BAD∞END∞NIGHT,dx,expert,262,45,33,9,72,421,サファ太
BAD∞END∞NIGHT,dx,master,411,45,111,15,36,618,メロンポップ
BANG!,dx,basic,80,10,6,12,1,109,-
BANG!,dx,advanced,142,13,12,38,4,209,-
BANG!,dx,expert,329,29,35,44,16,453,Jack
BANG!,dx,master,410,42,85,30,37,604,Techno Kitchen
BATTLE NO.1,dx,basic,243,18,5,18,3,287,-
BATTLE NO.1,dx,advanced,343,38,16,14,15,426,-
BATTLE NO.1,dx,expert,497,71,51,74,53,746,Jack
BATTLE NO.1,dx,master,762,65,103,134,136,1200,ゲキ*チュウマイ Fumen Team
BETTER CHOICE,std,basic,107,11,4,NULL,6,128,-
BETTER CHOICE,std,advanced,320,10,15,NULL,2,347,-
BETTER CHOICE,std,expert,291,42,28,NULL,9,370,Techno Kitchen
BETTER CHOICE,std,master,456,38,42,NULL,14,550,Jack
BIRTH,dx,basic,117,13,5,11,9,155,-
BIRTH,dx,advanced,285,17,24,16,10,352,-
BIRTH,dx,expert,505,62,17,8,9,601,はっぴー
BIRTH,dx,master,697,40,94,19,38,888,Safata.Hz
BLACK ROSE,dx,basic,102,10,6,22,2,142,-
BLACK ROSE,dx,advanced,216,21,14,38,8,297,-
BLACK ROSE,dx,expert,301,47,47,46,4,445,はっぴー
BLACK ROSE,dx,master,530,39,95,43,2,709,はっぴー
BLACK SWAN,dx,basic,196,9,4,14,4,227,-
BLACK SWAN,dx,advanced,264,33,16,27,14,354,-
BLACK SWAN,dx,expert,480,70,58,25,6,639,はっぴー
BLACK SWAN,dx,master,711,57,84,57,57,966,The ALiEN
BLUE ZONE,dx,basic,146,13,3,7,3,172,-
BLUE ZONE,dx,advanced,330,24,18,14,18,404,-
BLUE ZONE,dx,expert,369,67,48,10,21,515,はっぴー
BLUE ZONE,dx,master,654,25,71,50,88,888,隅田川星人
BOKUTO,dx,basic,128,20,8,16,3,175,-
BOKUTO,dx,advanced,250,51,7,25,9,342,-
BOKUTO,dx,expert,445,83,71,18,20,637,Jack
BOKUTO,dx,master,690,62,107,133,18,1010,ロシェ@ペンギン
BOOM! BOOM!! BOOM!!!,dx,basic,139,14,4,9,10,176,-
BOOM! BOOM!! BOOM!!!,dx,advanced,213,21,8,27,6,275,-
BOOM! BOOM!! BOOM!!!,dx,expert,308,45,25,21,49,448,サファ太
BOOM! BOOM!! BOOM!!!,dx,master,600,57,103,14,17,791,ミニミライト
BREAK YOU!!,std,basic,187,3,7,NULL,12,209,-
BREAK YOU!!,std,advanced,162,36,12,NULL,9,219,-
BREAK YOU!!,std,expert,414,43,57,NULL,29,543,mai-Star
BREAK YOU!!,std,master,588,42,108,NULL,34,772,譜面-100号
BREaK! BREaK! BREaK!,dx,basic,172,10,8,0,17,207,-
BREaK! BREaK! BREaK!,dx,advanced,321,17,14,26,36,414,-
BREaK! BREaK! BREaK!,dx,expert,513,65,42,55,57,732,サファ太
BREaK! BREaK! BREaK!,dx,master,797,76,121,62,50,1106,サファ太 vs -ZONE- SaFaRi
BULK UP (GAME EXCLUSIVE EDIT),dx,basic,154,14,6,20,8,202,-
BULK UP (GAME EXCLUSIVE EDIT),dx,advanced,338,16,20,14,9,397,-
BULK UP (GAME EXCLUSIVE EDIT),dx,expert,403,74,64,60,43,644,はっぴー
BULK UP (GAME EXCLUSIVE EDIT),dx,master,508,84,96,79,177,944,サファ太
BaBan!! －甘い罠－,std,basic,186,7,4,NULL,3,200,-
BaBan!! －甘い罠－,std,advanced,234,45,5,NULL,4,288,-
BaBan!! －甘い罠－,std,expert,236,75,18,NULL,4,333,譜面-100号
BaBan!! －甘い罠－,std,master,381,48,20,NULL,8,457,maimai TEAM
Back 2 Back,std,basic,210,4,4,NULL,5,223,-
Back 2 Back,std,advanced,164,10,12,NULL,28,214,-
Back 2 Back,std,expert,338,0,83,NULL,14,435,譜面-100号
Back 2 Back,std,master,190,0,189,NULL,2,381,はっぴー
Backyun! －悪い女－,std,basic,106,9,5,NULL,5,125,-
Backyun! －悪い女－,std,advanced,222,3,10,NULL,26,261,-
Backyun! －悪い女－,std,expert,278,35,40,NULL,4,357,はっぴー
Backyun! －悪い女－,std,master,349,35,41,NULL,26,451,ニャイン
Backyun! －悪い女－,std,remaster,396,42,90,NULL,31,559,Jack
Bad Apple!! feat.nomico,std,basic,127,7,4,NULL,7,145,-
Bad Apple!! feat.nomico,std,advanced,245,5,4,NULL,11,265,-
Bad Apple!! feat.nomico,std,expert,376,47,17,NULL,8,448,譜面-100号
Bad Apple!! feat.nomico,std,master,453,67,34,NULL,36,590,mai-Star
Bad Apple!! feat.nomico,std,remaster,515,34,114,NULL,35,698,Jack vs 某S氏
Bad Apple!! feat.nomico (REDALiCE Remix),dx,basic,127,5,2,17,4,155,-
Bad Apple!! feat.nomico (REDALiCE Remix),dx,advanced,226,20,11,35,14,306,-
Bad Apple!! feat.nomico (REDALiCE Remix),dx,expert,360,48,20,53,14,495,シチミヘルツ
Bad Apple!! feat.nomico (REDALiCE Remix),dx,master,404,47,155,92,16,714,某S氏
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),dx,basic,107,9,3,7,6,132,-
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),dx,advanced,166,14,8,27,8,223,-
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),dx,expert,305,31,31,17,15,399,アマリリス
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),dx,master,360,67,88,77,17,609,ロシェ@ペンギン
Bad Apple!! feat.nomico ～五十嵐 撫子 Ver.～,dx,basic,146,8,3,8,6,171,-
Bad Apple!! feat.nomico ～五十嵐 撫子 Ver.～,dx,advanced,244,12,13,27,8,304,-
Bad Apple!! feat.nomico ～五十嵐 撫子 Ver.～,dx,expert,402,35,14,37,20,508,鳩ホルダー
Bad Apple!! feat.nomico ～五十嵐 撫子 Ver.～,dx,master,631,44,82,39,27,823,はっぴー
Baddest,dx,basic,197,13,6,19,4,239,-
Baddest,dx,advanced,295,24,12,16,10,357,-
Baddest,dx,expert,356,65,39,60,63,583,ロシェ@ペンギン
Baddest,dx,master,738,57,134,35,66,1030,はっぴー
Bang Babang Bang!!!,std,basic,190,4,9,NULL,5,208,-
Bang Babang Bang!!!,std,advanced,273,29,15,NULL,26,343,-
Bang Babang Bang!!!,std,expert,453,48,27,NULL,62,590,サファ太
Bang Babang Bang!!!,std,master,565,35,112,NULL,44,756,LabiLabi
Baqeela,dx,basic,158,12,6,15,4,195,-
Baqeela,dx,advanced,233,23,12,28,3,299,-
Baqeela,dx,expert,487,41,32,28,32,620,アマリリス
Baqeela,dx,master,673,50,75,140,44,982,りんご Full Set
Barbed Eye,std,basic,203,21,6,NULL,3,233,-
Barbed Eye,std,advanced,281,20,20,NULL,10,331,-
Barbed Eye,std,expert,367,68,68,NULL,14,517,しろいろ
Barbed Eye,std,master,671,42,70,NULL,24,807,rioN
Beat Of Mind,std,basic,181,9,4,NULL,3,197,-
Beat Of Mind,std,advanced,258,14,6,NULL,8,286,-
Beat Of Mind,std,expert,352,27,19,NULL,4,402,譜面-100号
Beat Of Mind,std,master,230,94,12,NULL,15,351,ニャイン
Beat Of Mind,std,remaster,595,42,129,NULL,11,777,はっぴー
Beat Opera op.1,dx,basic,123,11,5,10,7,156,-
Beat Opera op.1,dx,advanced,228,30,10,32,3,303,-
Beat Opera op.1,dx,expert,309,97,53,35,6,500,翠楼屋
Beat Opera op.1,dx,master,535,87,75,47,19,763,はっぴー
Beat of getting entangled,std,basic,115,15,10,NULL,6,146,-
Beat of getting entangled,std,advanced,323,34,7,NULL,10,374,-
Beat of getting entangled,std,expert,349,109,19,NULL,13,490,はっぴー
Beat of getting entangled,std,master,413,81,43,NULL,49,586,ニャイン
Beat of getting entangled,std,remaster,692,58,79,NULL,28,857,はっぴー
Beautiful Future,dx,basic,157,9,2,6,7,181,-
Beautiful Future,dx,advanced,309,33,4,33,6,385,-
Beautiful Future,dx,expert,267,77,42,82,6,474,はっぴー
Beautiful Future,dx,master,601,94,76,33,29,833,隅田川星人
Beginning together!,dx,basic,138,20,4,4,6,172,-
Beginning together!,dx,advanced,272,14,4,17,4,311,-
Beginning together!,dx,expert,356,43,33,20,20,472,鳩ホルダー
Beginning together!,dx,master,531,87,62,37,73,790,ぴちネコ
Believe the Rainbow,std,basic,126,12,8,NULL,6,152,-
Believe the Rainbow,std,advanced,277,26,28,NULL,11,342,-
Believe the Rainbow,std,expert,275,38,43,NULL,14,370,某S氏
Believe the Rainbow,std,master,196,0,242,NULL,7,445,はっぴー
Believe the Rainbow,dx,basic,144,11,4,6,3,168,-
Believe the Rainbow,dx,advanced,198,17,9,26,4,254,-
Believe the Rainbow,dx,expert,214,48,39,64,21,386,Jack
Believe the Rainbow,dx,master,259,25,116,93,35,528,チャン@DP皆伝
Big Daddy,dx,basic,138,15,4,7,5,169,-
Big Daddy,dx,advanced,376,17,16,35,18,462,-
Big Daddy,dx,expert,464,103,88,47,19,721,シチミヘルツ
Big Daddy,dx,master,677,77,144,57,45,1000,サファ太
Black Lair,dx,basic,108,17,11,39,1,176,-
Black Lair,dx,advanced,226,27,20,30,7,310,-
Black Lair,dx,expert,324,102,41,70,15,552,シチミヘルツ
Black Lair,dx,master,582,89,67,59,37,834,小鳥遊さん
Black Out,std,basic,100,2,2,NULL,4,108,-
Black Out,std,advanced,151,23,3,NULL,6,183,-
Black Out,std,expert,278,32,2,NULL,10,322,mai-Star
Black Out,std,master,231,43,37,NULL,28,339,はっぴー
BlackFlagBreaker!!,dx,basic,186,9,5,6,8,214,-
BlackFlagBreaker!!,dx,advanced,349,12,15,26,2,404,-
BlackFlagBreaker!!,dx,expert,406,50,49,41,42,588,鳩ホルダー
BlackFlagBreaker!!,dx,master,693,112,124,27,42,998,Luxizhel
Blank Paper (Prod. TEMPLIME),dx,basic,87,10,8,8,3,116,-
Blank Paper (Prod. TEMPLIME),dx,advanced,220,12,10,25,2,269,-
Blank Paper (Prod. TEMPLIME),dx,expert,262,58,30,17,18,385,はっぴー
Blank Paper (Prod. TEMPLIME),dx,master,630,33,98,4,36,801,翠楼屋
Blew Moon,std,basic,165,30,4,NULL,9,208,-
Blew Moon,std,advanced,450,17,8,NULL,10,485,-
Blew Moon,std,expert,386,79,15,NULL,15,495,mai-Star
Blew Moon,std,master,459,50,39,NULL,60,608,ニャイン
Blew Moon,std,remaster,593,47,122,NULL,25,787,はっぴー
Bloody Trail,dx,basic,226,13,8,14,14,275,-
Bloody Trail,dx,advanced,379,16,6,31,8,440,-
Bloody Trail,dx,expert,533,127,53,21,41,775,鳩ホルダー
Bloody Trail,dx,master,882,129,42,3,100,1156,翠楼屋
Blows Up Everything,dx,basic,169,10,4,13,8,204,-
Blows Up Everything,dx,advanced,353,24,14,32,23,446,-
Blows Up Everything,dx,expert,429,122,70,42,66,729,Jack
Blows Up Everything,dx,master,563,17,130,276,22,1008,はっぴー
Blows Up Everything,dx,remaster,714,80,112,43,63,1012,サファ太
Boys O’Clock,dx,basic,139,13,4,13,3,172,-
Boys O’Clock,dx,advanced,218,36,11,30,8,303,-
Boys O’Clock,dx,expert,317,78,29,55,33,512,サファ太
Boys O’Clock,dx,master,580,22,16,168,25,811,譜面-100号
Brain Power,std,basic,207,10,4,NULL,7,228,-
Brain Power,std,advanced,338,53,19,NULL,6,416,-
Brain Power,std,expert,310,54,45,NULL,48,457,サファ太
Brain Power,std,master,443,89,71,NULL,60,663,小鳥遊さん
Brand-new Japanesque,std,basic,88,6,4,NULL,2,100,-
Brand-new Japanesque,std,advanced,263,8,7,NULL,10,288,-
Brand-new Japanesque,std,expert,187,58,19,NULL,20,284,mai-Star
Brand-new Japanesque,std,master,372,47,43,NULL,8,470,はっぴー
Bring it on,dx,basic,141,10,6,10,7,174,-
Bring it on,dx,advanced,233,10,10,28,6,287,-
Bring it on,dx,expert,281,31,40,29,56,437,ロシェ@ペンギン
Bring it on,dx,master,572,84,87,59,22,824,Luxizhel
Burn My Soul,dx,basic,184,14,4,14,2,218,-
Burn My Soul,dx,advanced,294,23,9,30,10,366,-
Burn My Soul,dx,expert,440,42,47,25,29,583,はっぴー
Burn My Soul,dx,master,569,16,144,20,58,807,はっぴー
Burning Hearts ～炎のANGEL～,std,basic,98,17,7,NULL,7,129,-
Burning Hearts ～炎のANGEL～,std,advanced,189,24,30,NULL,6,249,-
Burning Hearts ～炎のANGEL～,std,expert,189,53,17,NULL,31,290,ニャイン
Burning Hearts ～炎のANGEL～,std,master,309,53,19,NULL,26,407,某S氏
Burning Hearts ～炎のANGEL～,std,remaster,372,37,98,NULL,50,557,譜面-100号
CHAOS,dx,basic,209,12,5,8,6,240,-
CHAOS,dx,advanced,230,43,16,17,7,313,-
CHAOS,dx,expert,425,63,54,35,13,590,Jack
CHAOS,dx,master,531,98,59,106,29,823,小鳥遊さん
CHOCOLATE BOMB!!!!,dx,basic,132,3,9,22,8,174,-
CHOCOLATE BOMB!!!!,dx,advanced,290,47,5,1,20,363,-
CHOCOLATE BOMB!!!!,dx,expert,316,81,28,70,28,523,小鳥遊さん
CHOCOLATE BOMB!!!!,dx,master,502,76,64,88,57,787,華火職人
CITRUS MONSTER,std,basic,281,18,4,NULL,5,308,-
CITRUS MONSTER,std,advanced,394,25,9,NULL,4,432,-
CITRUS MONSTER,std,expert,499,73,52,NULL,24,648,ぴちネコ
CITRUS MONSTER,std,master,817,48,122,NULL,45,1032,ロシェ@ペンギン
CO5M1C R4ILR0AD,dx,basic,145,10,4,8,5,172,-
CO5M1C R4ILR0AD,dx,advanced,292,23,12,23,14,364,-
CO5M1C R4ILR0AD,dx,expert,288,87,53,44,12,484,サファ太
CO5M1C R4ILR0AD,dx,master,787,58,75,35,35,990,シチミヘルツ
CYBER Sparks,std,basic,153,17,9,NULL,2,181,-
CYBER Sparks,std,advanced,277,30,10,NULL,8,325,-
CYBER Sparks,std,expert,486,48,23,NULL,4,561,はっぴー
CYBER Sparks,std,master,436,36,150,NULL,4,626,緑風 犬三郎
CYBER Sparks,std,remaster,827,8,82,NULL,28,945,玉子豆腐
CYCLES,std,basic,143,31,10,NULL,3,187,-
CYCLES,std,advanced,244,32,15,NULL,8,299,-
CYCLES,std,expert,230,19,97,NULL,20,366,mai-Star
CYCLES,std,master,252,8,217,NULL,19,496,はっぴー
Calamity Fortune,std,basic,283,8,20,NULL,12,323,-
Calamity Fortune,std,advanced,321,47,27,NULL,12,407,-
Calamity Fortune,std,expert,363,58,163,NULL,24,608,玉子豆腐
Calamity Fortune,std,master,978,24,115,NULL,25,1142,小鳥遊さん
Calamity Fortune,dx,basic,143,15,6,18,4,186,-
Calamity Fortune,dx,advanced,327,21,20,21,24,413,-
Calamity Fortune,dx,expert,316,64,52,108,18,558,某S氏
Calamity Fortune,dx,master,622,98,73,123,19,935,シチミヘルツ
Caliburne ～Story of the Legendary sword～,std,basic,173,30,8,NULL,5,216,-
Caliburne ～Story of the Legendary sword～,std,advanced,426,25,42,NULL,8,501,-
Caliburne ～Story of the Legendary sword～,std,expert,533,35,93,NULL,19,680,Jack vs mai-Star
Caliburne ～Story of the Legendary sword～,std,master,734,10,208,NULL,4,956,はっぴー
Candy Tall Woman,std,basic,189,4,9,NULL,1,203,-
Candy Tall Woman,std,advanced,267,11,31,NULL,13,322,-
Candy Tall Woman,std,expert,351,60,59,NULL,15,485,ものくろっく
Candy Tall Woman,std,master,591,43,80,NULL,27,741,某S氏
Catch Me If You Can,dx,basic,225,16,2,17,4,264,-
Catch Me If You Can,dx,advanced,240,19,6,55,5,325,-
Catch Me If You Can,dx,expert,366,83,53,17,20,539,小鳥遊さん
Catch Me If You Can,dx,master,476,101,72,151,40,840,ものくろっく
Catch The Future,std,basic,125,9,3,NULL,4,141,-
Catch The Future,std,advanced,216,20,5,NULL,2,243,-
Catch The Future,std,expert,216,27,34,NULL,10,287,ニャイン
Catch The Future,std,master,295,28,66,NULL,2,391,譜面-100号
Catch the Wave,dx,basic,128,24,4,6,4,166,-
Catch the Wave,dx,advanced,255,22,10,30,10,327,-
Catch the Wave,dx,expert,310,79,30,60,39,518,小鳥遊さん
Catch the Wave,dx,master,521,94,78,44,19,756,華火職人
Caterpillar Song,dx,basic,62,11,4,20,1,98,-
Caterpillar Song,dx,advanced,216,10,13,28,2,269,-
Caterpillar Song,dx,expert,240,87,2,5,2,336,はっぴー
Caterpillar Song,dx,master,309,31,94,46,1,481,チェシャ猫とハートのジャック
Change Our MIRAI！,std,basic,141,15,9,NULL,9,174,-
Change Our MIRAI！,std,advanced,277,40,21,NULL,10,348,-
Change Our MIRAI！,std,expert,445,90,55,NULL,28,618,Jack
Change Our MIRAI！,std,master,640,59,114,NULL,33,846,ロシェ@ペンギン
Change Our MIRAI！,dx,basic,138,32,6,16,2,194,-
Change Our MIRAI！,dx,advanced,219,56,16,27,4,322,-
Change Our MIRAI！,dx,expert,280,77,39,84,59,539,小鳥遊さん
Change Our MIRAI！,dx,master,575,83,101,41,27,827,Jack
Chronomia,dx,basic,230,14,7,14,5,270,-
Chronomia,dx,advanced,345,18,11,27,5,406,-
Chronomia,dx,expert,437,49,75,28,53,642,鳩ホルダー
Chronomia,dx,master,617,72,128,28,77,922,サファ太 respects for 小鳥遊さん
Churros Parlor,dx,basic,150,11,8,8,17,194,-
Churros Parlor,dx,advanced,282,22,9,29,6,348,-
Churros Parlor,dx,expert,431,100,26,91,78,726,Luxizhel
